                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5452,                0.66589,                0.91726,                 2.8077,              0.0033285,              0.0033285,              0.0033285
                      2,                 1.3314,                0.77775,                0.94935,                 2.5864,              0.0065959,              0.0065959,              0.0065959
                      3,                 1.1254,                0.77163,                0.94301,                 2.5776,              0.0097973,              0.0097973,              0.0097973
                      4,                 1.1271,                0.77775,                0.93415,                 2.5587,               0.009703,               0.009703,               0.009703
                      5,                 1.0062,                0.78324,                0.94555,                 2.5506,               0.009604,               0.009604,               0.009604
                      6,                0.92982,                0.81131,                0.95547,                 2.5195,               0.009505,               0.009505,               0.009505
                      7,                0.89128,                0.81131,                0.95082,                 2.5146,               0.009406,               0.009406,               0.009406
                      8,                0.82726,                0.83221,                0.95673,                 2.4943,               0.009307,               0.009307,               0.009307
                      9,                0.79465,                 0.8149,                0.95927,                 2.5139,               0.009208,               0.009208,               0.009208
                     10,                0.74497,                0.84128,                0.96159,                  2.485,               0.009109,               0.009109,               0.009109
                     11,                0.71922,                0.84318,                0.96117,                 2.4817,                0.00901,                0.00901,                0.00901
                     12,                0.69558,                0.84044,                0.96095,                 2.4742,               0.008911,               0.008911,               0.008911
                     13,                0.67982,                0.84994,                0.96243,                 2.4645,               0.008812,               0.008812,               0.008812
                     14,                0.65044,                0.84339,                0.96602,                 2.4684,               0.008713,               0.008713,               0.008713
                     15,                0.64053,                0.84867,                0.96539,                 2.4651,               0.008614,               0.008614,               0.008614
                     16,                 0.6062,                0.84951,                0.96349,                 2.4689,               0.008515,               0.008515,               0.008515
                     17,                0.61561,                 0.8569,                0.96391,                 2.4584,               0.008416,               0.008416,               0.008416
                     18,                0.56098,                0.85732,                0.96539,                 2.4514,               0.008317,               0.008317,               0.008317
                     19,                  0.561,                 0.8607,                0.96496,                 2.4533,               0.008218,               0.008218,               0.008218
                     20,                0.57058,                0.86767,                 0.9694,                  2.448,               0.008119,               0.008119,               0.008119
                     21,                0.53562,                0.86661,                0.96686,                 2.4464,                0.00802,                0.00802,                0.00802
                     22,                0.53589,                0.86281,                0.96897,                 2.4477,               0.007921,               0.007921,               0.007921
                     23,                0.53181,                0.86745,                0.97108,                 2.4417,               0.007822,               0.007822,               0.007822
                     24,                0.49836,                0.86534,                0.96834,                  2.444,               0.007723,               0.007723,               0.007723
                     25,                0.49756,                0.86978,                0.96982,                 2.4399,               0.007624,               0.007624,               0.007624
                     26,                0.48684,                 0.8721,                 0.9694,                 2.4383,               0.007525,               0.007525,               0.007525
                     27,                 0.4835,                0.87125,                0.96707,                 2.4405,               0.007426,               0.007426,               0.007426
                     28,                0.47388,                 0.8797,                0.97003,                 2.4289,               0.007327,               0.007327,               0.007327
                     29,                0.46293,                0.87569,                0.97214,                 2.4343,               0.007228,               0.007228,               0.007228
                     30,                0.44215,                0.86914,                0.96897,                 2.4342,               0.007129,               0.007129,               0.007129
                     31,                 0.4432,                0.87737,                0.97193,                 2.4268,                0.00703,                0.00703,                0.00703
                     32,                0.43024,                0.88202,                0.97404,                 2.4243,               0.006931,               0.006931,               0.006931
                     33,                0.42619,                0.88244,                0.97003,                 2.4229,               0.006832,               0.006832,               0.006832
                     34,                0.42021,                0.88181,                 0.9713,                 2.4225,               0.006733,               0.006733,               0.006733
                     35,                0.40961,                0.88307,                0.97256,                  2.421,               0.006634,               0.006634,               0.006634
                     36,                0.40136,                0.88772,                0.97277,                 2.4188,               0.006535,               0.006535,               0.006535
                     37,                0.38928,                0.88138,                0.97383,                 2.4202,               0.006436,               0.006436,               0.006436
                     38,                0.36915,                0.88582,                0.97045,                 2.4169,               0.006337,               0.006337,               0.006337
                     39,                0.38237,                0.89067,                0.97024,                 2.4155,               0.006238,               0.006238,               0.006238
                     40,                 0.3634,                0.88539,                0.97383,                 2.4173,               0.006139,               0.006139,               0.006139
                     41,                0.36359,                0.88814,                0.97277,                 2.4145,                0.00604,                0.00604,                0.00604
                     42,                0.36158,                0.89067,                0.97214,                 2.4136,               0.005941,               0.005941,               0.005941
                     43,                0.34269,                0.89278,                0.97594,                 2.4086,               0.005842,               0.005842,               0.005842
                     44,                0.33959,                 0.8894,                0.97531,                 2.4106,               0.005743,               0.005743,               0.005743
                     45,                0.32274,                 0.8894,                0.97721,                 2.4105,               0.005644,               0.005644,               0.005644
                     46,                0.34267,                0.89236,                0.97699,                 2.4117,               0.005545,               0.005545,               0.005545
                     47,                0.32401,                0.89299,                0.97721,                 2.4086,               0.005446,               0.005446,               0.005446
                     48,                0.31751,                0.89236,                0.97699,                 2.4128,               0.005347,               0.005347,               0.005347
                     49,                 0.3133,                0.89574,                0.97678,                 2.4058,               0.005248,               0.005248,               0.005248
                     50,                 0.3106,                0.89278,                0.97763,                 2.4081,               0.005149,               0.005149,               0.005149
                     51,                0.29124,                0.89616,                0.97763,                 2.4036,                0.00505,                0.00505,                0.00505
                     52,                0.29774,                 0.8951,                0.97763,                 2.4073,               0.004951,               0.004951,               0.004951
                     53,                 0.2808,                0.89574,                0.97699,                 2.4053,               0.004852,               0.004852,               0.004852
                     54,                0.28113,                0.89447,                0.97509,                 2.4039,               0.004753,               0.004753,               0.004753
                     55,                0.29942,                0.89595,                0.97721,                 2.4032,               0.004654,               0.004654,               0.004654
                     56,                0.27568,                0.89764,                0.97826,                 2.4036,               0.004555,               0.004555,               0.004555
                     57,                  0.284,                0.89658,                0.97826,                 2.4054,               0.004456,               0.004456,               0.004456
                     58,                0.25503,                0.89743,                0.97784,                 2.4047,               0.004357,               0.004357,               0.004357
                     59,                 0.2575,                  0.897,                0.97678,                 2.4009,               0.004258,               0.004258,               0.004258
                     60,                0.27435,                0.89616,                0.97911,                 2.4006,               0.004159,               0.004159,               0.004159
                     61,                 0.2445,                  0.897,                0.97742,                 2.4017,                0.00406,                0.00406,                0.00406
                     62,                 0.2506,                 0.8989,                0.97826,                 2.3985,               0.003961,               0.003961,               0.003961
                     63,                0.24082,                0.90207,                0.97932,                 2.3986,               0.003862,               0.003862,               0.003862
                     64,                0.23457,                0.89806,                0.97847,                  2.399,               0.003763,               0.003763,               0.003763
                     65,                0.22812,                0.89616,                0.97847,                 2.3996,               0.003664,               0.003664,               0.003664
                     66,                0.23817,                0.89743,                0.97721,                 2.3998,               0.003565,               0.003565,               0.003565
                     67,                0.21996,                0.89848,                0.97742,                  2.399,               0.003466,               0.003466,               0.003466
                     68,                 0.2223,                0.89595,                0.97721,                  2.399,               0.003367,               0.003367,               0.003367
                     69,                 0.2134,                0.89806,                0.97784,                 2.3979,               0.003268,               0.003268,               0.003268
                     70,                0.21002,                0.89932,                0.97847,                  2.398,               0.003169,               0.003169,               0.003169
                     71,                0.20327,                0.90059,                0.97826,                 2.3977,                0.00307,                0.00307,                0.00307
                     72,                0.19685,                0.90122,                0.97826,                 2.4005,               0.002971,               0.002971,               0.002971
                     73,                0.19925,                0.90101,                0.97847,                 2.3972,               0.002872,               0.002872,               0.002872
                     74,                0.18503,                0.90059,                0.97847,                 2.3971,               0.002773,               0.002773,               0.002773
                     75,                0.17989,                0.89932,                0.97742,                 2.4001,               0.002674,               0.002674,               0.002674
                     76,                0.18351,                0.90038,                0.97763,                 2.3966,               0.002575,               0.002575,               0.002575
                     77,                 0.1757,                0.90249,                0.97847,                 2.3962,               0.002476,               0.002476,               0.002476
                     78,                0.17612,                0.90144,                0.97889,                  2.396,               0.002377,               0.002377,               0.002377
                     79,                0.16758,                0.90101,                0.97911,                 2.3959,               0.002278,               0.002278,               0.002278
                     80,                0.16758,                0.89911,                0.97889,                 2.3957,               0.002179,               0.002179,               0.002179
                     81,                0.15731,                0.89869,                0.97847,                 2.3952,                0.00208,                0.00208,                0.00208
                     82,                0.15699,                0.89975,                0.97826,                 2.3949,               0.001981,               0.001981,               0.001981
                     83,                0.15688,                0.90059,                0.97826,                 2.3947,               0.001882,               0.001882,               0.001882
                     84,                0.14891,                0.90122,                0.97847,                 2.3946,               0.001783,               0.001783,               0.001783
                     85,                0.15046,                0.90186,                0.97868,                 2.3944,               0.001684,               0.001684,               0.001684
                     86,                0.14606,                0.90207,                0.97847,                 2.3954,               0.001585,               0.001585,               0.001585
                     87,                0.14998,                0.90207,                0.97805,                 2.3941,               0.001486,               0.001486,               0.001486
                     88,                0.14196,                0.90291,                0.97784,                 2.3941,               0.001387,               0.001387,               0.001387
                     89,                0.13158,                0.90376,                0.97784,                  2.394,               0.001288,               0.001288,               0.001288
                     90,                0.13502,                0.90312,                0.97763,                 2.3939,               0.001189,               0.001189,               0.001189
                     91,                0.12351,                0.90355,                0.97742,                 2.3937,                0.00109,                0.00109,                0.00109
                     92,                0.13031,                0.90439,                0.97742,                 2.3936,               0.000991,               0.000991,               0.000991
                     93,                0.12209,                0.90376,                0.97742,                 2.3936,               0.000892,               0.000892,               0.000892
                     94,                0.12539,                0.90418,                0.97763,                  2.396,               0.000793,               0.000793,               0.000793
                     95,                0.12405,                0.90418,                0.97742,                 2.3936,               0.000694,               0.000694,               0.000694
                     96,                0.12706,                0.90376,                0.97721,                 2.3933,               0.000595,               0.000595,               0.000595
                     97,                0.11666,                0.90376,                0.97721,                 2.3934,               0.000496,               0.000496,               0.000496
                     98,                0.11675,                0.90355,                0.97721,                 2.3935,               0.000397,               0.000397,               0.000397
                     99,                0.11406,                0.90355,                0.97699,                 2.3936,               0.000298,               0.000298,               0.000298
                    100,                0.11127,                0.90355,                0.97763,                 2.3957,               0.000199,               0.000199,               0.000199
